,Price,MarketCap,TransactionCount,ActiveAddress,Asset,Date
253,0.827539999999999,4772878.327,2320,4643,BTC,2011-03-27
254,0.79898,4614868.531,2763,5190,BTC,2011-03-28
255,0.7925000000000001,4583899.25,2555,4511,BTC,2011-03-29
256,0.7897000000000001,4573863.43,1600,3525,BTC,2011-03-30
257,0.78461,4552267.9895,1894,3999,BTC,2011-03-31
258,0.7741100000000001,4498159.6825,1403,3137,BTC,2011-04-01
259,0.7819900000000001,4550986.3025,1592,3148,BTC,2011-04-02
260,0.779,4540401.5,1630,3474,BTC,2011-04-03
261,0.68,3969432.0000000005,2131,4476,BTC,2011-04-04
262,0.71,4151441.0,1925,4158,BTC,2011-04-05
263,0.74,4332330.0,1716,3733,BTC,2011-04-06
264,0.7538,4418662.53,1530,3289,BTC,2011-04-07
265,0.749989999999999,4402553.7985,1601,3505,BTC,2011-04-08
266,0.7465839999999999,4388383.4228,1577,3482,BTC,2011-04-09
267,0.7369,4337835.54,1571,3369,BTC,2011-04-10
268,0.77,4538957.5,1780,3912,BTC,2011-04-11
269,0.86,5076494.0,1914,4188,BTC,2011-04-12
270,0.93115,5505517.49,2177,4520,BTC,2011-04-13
271,0.9993600000000001,5916810.816000001,2721,5823,BTC,2011-04-14
272,0.9869040000000001,5849774.769600001,1882,4024,BTC,2011-04-15
273,1.0499,6232258.8950000005,1981,5234,BTC,2011-04-16
274,1.13057,6721295.1785,2077,4200,BTC,2011-04-17
275,1.16199,6916687.3755,2887,5409,BTC,2011-04-18
276,1.1965,7131319.475,3444,6221,BTC,2011-04-19
277,1.1421000000000001,6815310.435,2825,5252,BTC,2011-04-20
278,1.208,7217437.6,1768,3915,BTC,2011-04-21
279,1.40901,8430811.335,1921,4107,BTC,2011-04-22
280,1.665325,9978793.9325,2138,4801,BTC,2011-04-23
281,1.6301100000000002,9780986.022,2111,4530,BTC,2011-04-24
282,1.57623,9472827.054,2400,4940,BTC,2011-04-25
283,1.7949000000000002,10804490.295,3260,6011,BTC,2011-04-26
284,1.9,11454530.0,4397,7342,BTC,2011-04-27
285,2.21059,13345110.771000002,2871,6056,BTC,2011-04-28
286,2.88,17415072.0,3334,6586,BTC,2011-04-29
287,3.5,21197225.0,4284,8009,BTC,2011-04-30
288,3.03311,18396722.083,3770,7343,BTC,2011-05-01
289,3.2,19440480.0,2898,5814,BTC,2011-05-02
290,3.3975,20673617.625,2739,5887,BTC,2011-05-03
291,3.40609,20759437.332000002,2603,6210,BTC,2011-05-04
292,3.333,20350464.75,3245,6921,BTC,2011-05-05
293,3.452,21114675.8,3072,6659,BTC,2011-05-06
294,3.641,22309681.35,3673,7090,BTC,2011-05-07
295,3.86585,23729747.055,2679,6135,BTC,2011-05-08
296,3.8,23370950.0,3277,7306,BTC,2011-05-09
297,5.805,35755317.0,2968,6931,BTC,2011-05-10
298,5.5,33929225.0,2899,6863,BTC,2011-05-11
299,6.363463333333333,39309658.39533333,3192,7017,BTC,2011-05-12
300,8.193999999999999,50702423.49999999,3857,9229,BTC,2011-05-13
301,7.026584285714287,43563768.58378572,4172,8737,BTC,2011-05-14
302,6.988455,43404245.73675,3550,8078,BTC,2011-05-15
303,8.0,49785600.0,4102,11506,BTC,2011-05-16
304,7.20995,44961608.6975,4207,10261,BTC,2011-05-17
305,6.8849912500000015,43034293.55856251,5293,12695,BTC,2011-05-18
306,6.88955,43121693.449999996,4492,11771,BTC,2011-05-19
307,5.5903616666666665,35051567.65,4575,11381,BTC,2011-05-20
308,6.132744285714287,38519766.85857143,4744,10577,BTC,2011-05-21
309,6.736269999999999,42395052.0585,5030,10533,BTC,2011-05-22
310,7.106383999999999,44826359.6336,5459,11949,BTC,2011-05-23
311,7.42,46915547.0,5566,12952,BTC,2011-05-24
312,8.409413571428571,53300545.09842857,5951,14348,BTC,2011-05-25
313,8.77355,55738363.15,6671,14242,BTC,2011-05-26
314,8.5002,54072747.269999996,4686,10599,BTC,2011-05-27
315,8.3001,52864166.910000004,4858,11415,BTC,2011-05-28
316,8.4299,53766745.19,4573,11036,BTC,2011-05-29
317,8.800025000000002,56195199.64500001,5183,12428,BTC,2011-05-30
318,8.715455,55720518.451500006,5913,13850,BTC,2011-05-31
319,9.607497500000001,61513924.243250005,6352,13657,BTC,2011-06-01
320,10.643019999999998,68245172.84399998,6946,15288,BTC,2011-06-02
321,14.317785714285714,91953115.19285715,8239,17582,BTC,2011-06-03
322,18.64759333333334,119969291.71000004,8587,19181,BTC,2011-06-04
323,16.675,107452032.5,8384,17585,BTC,2011-06-05
324,18.37141428571429,118597583.49214289,9470,20676,BTC,2011-06-06
325,23.396988372093016,151239302.68662786,8832,18723,BTC,2011-06-07
326,29.64085384615385,191874139.2023077,11630,27013,BTC,2011-06-08
327,28.9407,187663075.07999998,11954,26012,BTC,2011-06-09
328,23.86174117647059,154995132.89882356,11046,23862,BTC,2011-06-10
329,14.651199999999998,95352207.27999999,10645,23329,BTC,2011-06-11
330,18.71959,122047982.882,12207,26680,BTC,2011-06-12
331,19.409272222222214,126764868.27416661,11019,25460,BTC,2011-06-13
332,19.32056428571429,126424112.40357146,13911,29187,BTC,2011-06-14
333,19.49,127804700.49999999,12326,27126,BTC,2011-06-15
334,17.363817999999995,114018642.70609997,12566,28463,BTC,2011-06-16
335,15.834064285714286,104120848.22678572,11110,25713,BTC,2011-06-17
336,16.876666666666665,111142975.99999999,11366,25771,BTC,2011-06-18
337,17.405467272497287,114819516.22984648,11249,27371,BTC,2011-06-19
338,17.4795582704942,115512786.85264738,10991,25591,BTC,2011-06-20
339,17.850482972780885,118189832.81107952,9451,24486,BTC,2011-06-21
340,17.906287114865226,118792099.34872739,11259,26303,BTC,2011-06-22
341,18.16839759701135,120748987.26949713,10178,23864,BTC,2011-06-23
342,18.585396059959713,123721123.03154582,10706,25067,BTC,2011-06-24
343,17.943275642315022,119574886.04416943,9550,22254,BTC,2011-06-25
344,16.366438571428574,109188694.92928573,9836,23338,BTC,2011-06-26
345,16.750066666666665,111889607.83,11582,28631,BTC,2011-06-27
346,16.943002500000002,113313953.56987502,10559,25983,BTC,2011-06-28
347,16.899833333333333,113170578.90833333,9830,24028,BTC,2011-06-29
348,16.153598125000002,108327644.38606252,9445,23070,BTC,2011-06-30
349,15.363328181818185,103160907.90886365,10430,30042,BTC,2011-07-01
350,15.4,103537280.0,7849,32112,BTC,2011-07-02
351,15.440396666666668,103936258.14183335,8199,22129,BTC,2011-07-03
352,13.820056,93146486.4372,9434,23440,BTC,2011-07-04
353,12.886805625000001,86945988.8713125,8826,23168,BTC,2011-07-05
354,14.767071111111115,99747873.58777781,10362,26752,BTC,2011-07-06
355,14.770078461538462,99864931.502,9049,22771,BTC,2011-07-07
356,14.313770000000002,96897781.70350002,8363,24399,BTC,2011-07-08
357,14.3775,97436317.5,7702,22511,BTC,2011-07-09
358,14.74739,100044081.6515,8255,28441,BTC,2011-07-10
359,14.210998421052633,96516837.97626317,10366,25505,BTC,2011-07-11
360,14.01648166666667,95294554.73125002,8006,22750,BTC,2011-07-12
361,13.954294285714285,95005021.78542857,9002,26808,BTC,2011-07-13
362,13.997809,95402067.2395,8572,28682,BTC,2011-07-14
363,13.81,94233916.0,7836,24115,BTC,2011-07-15
364,13.719048571428573,93720994.36328572,8719,23674,BTC,2011-07-16
365,13.167918750000005,90067905.85406254,8209,24274,BTC,2011-07-17
366,13.423071481481482,91927233.88735186,8806,27601,BTC,2011-07-18
367,13.84199375,94894480.2528125,9043,24782,BTC,2011-07-19
368,13.693134848484846,93975984.46515149,8714,25539,BTC,2011-07-20
369,13.612104,93523321.7424,8011,25137,BTC,2011-07-21
370,13.69542,94199153.073,8840,24163,BTC,2011-07-22
371,13.68,94192956.0,7269,21647,BTC,2011-07-23
372,13.98001,96374693.9375,8053,22920,BTC,2011-07-24
373,14.0026,96645945.19999999,9320,26711,BTC,2011-07-25
374,13.881170000000001,95929989.63599999,8194,23543,BTC,2011-07-26
375,13.9076,96233638.2,7821,23165,BTC,2011-07-27
376,13.481906666666667,93392537.95666666,7964,25053,BTC,2011-07-28
377,13.514396363636365,93728420.26018183,7151,21756,BTC,2011-07-29
378,13.53281315789474,93958998.39592108,6057,19386,BTC,2011-07-30
379,13.379893333333333,93014342.47466667,7924,23766,BTC,2011-07-31
380,13.095602000000005,91146044.70010003,8030,23275,BTC,2011-08-01
381,12.060019,84031197.38725,8663,21237,BTC,2011-08-02
382,9.26005,64594404.78,7580,17988,BTC,2011-08-03
383,10.743663333333332,75012794.5765,8178,18586,BTC,2011-08-04
384,9.7726675,68301661.790875,7220,21120,BTC,2011-08-05
385,6.511275454545455,45547348.49586364,6712,19901,BTC,2011-08-06
386,8.166288292682923,57175859.16680485,6584,19634,BTC,2011-08-07
387,7.8298549999999985,54873581.303749986,7131,24295,BTC,2011-08-08
388,9.74886068965517,68393619.61131033,9073,23270,BTC,2011-08-09
389,10.01468625,70334643.7366875,8183,19300,BTC,2011-08-10
390,9.45624,66477367.199999996,7459,17814,BTC,2011-08-11
391,9.460339999999999,66568155.42699999,7034,16683,BTC,2011-08-12
392,10.123339655172405,71299187.358362,7268,18815,BTC,2011-08-13
393,10.744264615384619,75743305.04584618,7339,21128,BTC,2011-08-14
394,11.138136,78591801.4296,8250,18781,BTC,2011-08-15
395,10.958955,77408030.69475,9493,20593,BTC,2011-08-16
396,10.993066666666667,77723729.60000001,7586,19988,BTC,2011-08-17
397,10.847017692307693,76769225.36642309,7271,20313,BTC,2011-08-18
398,11.65,82528600.0,7483,21840,BTC,2011-08-19
399,11.450997999999998,81205897.41679999,7039,20800,BTC,2011-08-20
400,11.323212000000002,80390275.91520001,7507,22366,BTC,2011-08-21
401,10.940764736842107,77767502.78771053,7646,25025,BTC,2011-08-22
402,10.927407,77757242.7306,7122,22345,BTC,2011-08-23
403,10.8506,77283398.5,7233,21797,BTC,2011-08-24
404,9.684139710144926,69040653.02855071,7106,22862,BTC,2011-08-25
405,8.179189444444445,58371603.38922223,7274,21300,BTC,2011-08-26
406,8.5902,61357221.54,6239,20640,BTC,2011-08-27
407,9.078464285714286,64897401.946428575,5473,18215,BTC,2011-08-28
408,8.96809375,64170298.01875,7956,18696,BTC,2011-08-29
409,8.795466000000001,62999284.31820001,7658,17313,BTC,2011-08-30
410,8.22353625,58966455.50381251,7137,16787,BTC,2011-08-31
411,8.228883750000001,59057875.78537501,7074,16492,BTC,2011-09-01
412,8.62278,61952087.466000006,6870,15858,BTC,2011-09-02
413,8.479,60980544.05,5780,14200,BTC,2011-09-03
414,8.17871357142857,58875696.45096428,7124,17225,BTC,2011-09-04
415,7.629207142857145,54979499.81464287,6883,17841,BTC,2011-09-05
416,6.864676666666665,49521434.239499986,7679,18377,BTC,2011-09-06
417,7.186077777777778,51889230.417777784,6954,16392,BTC,2011-09-07
418,6.5331220000000005,47216505.9745,6368,15365,BTC,2011-09-08
419,5.05558,36576868.521,7222,18315,BTC,2011-09-09
420,4.764342000000001,34501459.027200006,5860,15532,BTC,2011-09-10
421,5.914224166666667,42865409.626375005,6318,15078,BTC,2011-09-11
422,6.061434285714286,43972675.025714286,6442,16221,BTC,2011-09-12
423,5.8,42117280.0,6377,14664,BTC,2011-09-13
424,5.619543333333333,40847898.53566666,6054,14442,BTC,2011-09-14
425,4.805915714285715,34971206.87814286,6318,15192,BTC,2011-09-15
426,4.811,35036829.15,6090,14298,BTC,2011-09-16
427,4.7647,34731565.945,5320,12877,BTC,2011-09-17
428,5.238233333333333,38224698.19166667,5828,14074,BTC,2011-09-18
429,5.462770769230769,39897892.59015384,6526,15826,BTC,2011-09-19
430,6.114797272727272,44702836.941999994,8005,21668,BTC,2011-09-20
431,5.6609356250000005,41426160.810187496,7538,17693,BTC,2011-09-21
432,5.473564,40095498.3692,5991,17256,BTC,2011-09-22
433,5.557576363636364,40747872.019363634,6195,19799,BTC,2011-09-23
434,5.471526666666667,40152251.29066667,5599,19129,BTC,2011-09-24
435,5.331829999999999,39163624.3075,5585,18971,BTC,2011-09-25
436,4.86916,35797820.861999996,5505,17509,BTC,2011-09-26
437,4.709366666666667,34654345.553333335,5968,18409,BTC,2011-09-27
438,4.7093475,34688818.217625,5870,13462,BTC,2011-09-28
439,4.7846224999999984,35273193.99449999,5464,12613,BTC,2011-09-29
440,5.149056666666667,37991284.803666666,5743,13192,BTC,2011-09-30
441,5.0181025,37060945.108625,5231,12750,BTC,2011-10-01
